BatteryId,Policy,Family,Candidate,SelectedFamily,Intercept,Coefficient,EstimatedT80,T80Status,ExtrapolationMultiple,time,loss,late_slope_loss
38,5_3C_54PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0010727412966736,-0.0332414749677784,1952.8646768695653,finite_extrapolation,13.019097845797104,10.1409416436186,0.004111101329425,3.952044377074226e-05
38,5_3C_54PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.001871105947355,-4.146187916600223e-05,4868.836386771505,finite_extrapolation,32.45890924514337,10.1409416436186,0.004111101329425,3.952044377074226e-05
38,5_3C_54PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.000442040360939,-9.067530261254127e-06,2989.508833458709,finite_extrapolation,19.93005888972473,10.1409416436186,0.004111101329425,3.952044377074226e-05
39,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0009671031183525,-0.0283236450426085,2091.2938711890297,finite_extrapolation,13.941959141260195,10.2255189026251,0.0039331048798509,3.7272596406732565e-05
39,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0020467495418015,-3.827889075311928e-05,5278.2812032069405,finite_extrapolation,35.18854135471294,10.2255189026251,0.0039331048798509,3.7272596406732565e-05
39,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0004309368964337,-7.729120214686868e-06,3396.7826263656348,finite_extrapolation,22.64521750910423,10.2255189026251,0.0039331048798509,3.7272596406732565e-05
40,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.001019276509426,-0.0350850028998349,1906.4997979810844,finite_extrapolation,12.70999865320723,10.1933407266812,0.0045956985584679,4.691951111201976e-05
40,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0014676891537255,-4.0852536092999685e-05,4931.583407578173,finite_extrapolation,32.87722271718782,10.1933407266812,0.0045956985584679,4.691951111201976e-05
40,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0003527723677317,-9.568342732642968e-06,2862.64112811153,finite_extrapolation,19.084274187410205,10.1933407266812,0.0045956985584679,4.691951111201976e-05
41,4_8C_80PER_4_8C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,0.9563884731664823,-0.0297451295515681,1833.7993040095248,finite_extrapolation,12.22532869339683,11.1030957823375,0.0032610698549709,3.845856581597258e-05
