OuterBatteryId,Policy,Family,SelectedCandidate,RMSE,MAE,Bias
30,3_7C_31PER_5_9C_NEWSTRUCTURE,power,power_w60_s1.25,0.0006799560584877505,0.0006242015356109354,-0.0006242015356109354
31,5C_67PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.0002746909148186758,0.00022813525219509412,0.00021953326545848028
31,5C_67PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,0.0002789503203437014,0.00022897225006729416,0.00021946892474971724
31,5C_67PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,0.0002348182399863592,0.00019160418334874364,0.00018131493728222868
32,5_3C_54PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00014497447104393988,0.00011928512352696874,-2.511519798841011e-05
32,5_3C_54PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,0.0001565678260447811,0.00013305047972995922,-6.256889726991898e-05
32,5_3C_54PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,0.00015585261716882527,0.00013415600496983872,-6.353434354992693e-05
33,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.0002408068304778593,0.00017381768849787925,0.00015618173137535107
33,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,0.00020914075636096975,0.00014743138276482882,0.00010791714593232803
33,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,0.0002089944397998127,0.00014939154452326743,0.0001189276399157868
34,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.0001287702654203127,8.876801083323337e-05,3.786099484351491e-05
34,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,0.00024183410586217345,0.00021759923608371867,-0.0002109635989488945
34,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,0.00011575767648782094,8.935564175965193e-05,-1.2045687491162305e-05
35,3_7C_31PER_5_9C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.0006943172052680265,0.0005918061374354778,-0.000569241231215829
35,3_7C_31PER_5_9C_NEWSTRUCTURE,linear,linear_w40_s1,0.00028426381160570857,0.0002095332636504499,-0.0001488825554290174
35,3_7C_31PER_5_9C_NEWSTRUCTURE,power,power_w60_s1.25,0.0009973709519285375,0.0008609027359024335,-0.0008504973230323109
36,5_3C_54PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00039014102529356275,0.00035732629967782036,0.00035732629967782036
36,5_3C_54PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,0.00013797540892699294,0.00010205265026477894,8.972129258471683e-05
36,5_3C_54PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,0.0003521541404447494,0.00032177028417583963,0.00032177028417583963
37,5C_67PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00010716228650396679,7.937727269592187e-05,2.376909831173002e-05
37,5C_67PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,0.00010354253675674294,8.082075346202533e-05,1.0957903966017924e-05
37,5C_67PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,0.00010877630697383145,9.47143779215498e-05,-1.7533689070932112e-05
38,5_3C_54PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,9.777980651634762e-05,8.573718881514036e-05,-6.722621884525104e-06
38,5_3C_54PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,0.0001434400243691609,0.00012349450944797668,-0.00010368168729102623
38,5_3C_54PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,0.00011583874655987295,0.00010203464805534468,-5.440625187513204e-05
39,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00013012749139713377,0.00010499276276841663,6.648906909168861e-05
39,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,0.00016757430862422007,0.00014841017447916104,-0.00013463035421824366
39,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,0.0001081781259504935,8.575957578595971e-05,2.5127874224297742e-05
40,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00015823433196653184,0.0001365919621321021,0.00011301793389551396
40,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,0.00017371037292190428,0.00015091162637578926,0.0001269414260067503
40,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,0.00011635626983513218,9.641984652907221e-05,6.318216077276117e-05
41,4_8C_80PER_4_8C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00012077131472063594,9.40543374936298e-05,4.001823330940679e-05
41,4_8C_80PER_4_8C_NEWSTRUCTURE,linear,linear_w40_s1,0.00011126521240114676,9.075634821942069e-05,-2.5107589212125525e-06
41,4_8C_80PER_4_8C_NEWSTRUCTURE,power,power_w60_s1.25,0.0001136772714500452,9.250810569838341e-05,-2.3455803858074553e-06
42,5C_67PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00010238326126388623,8.479520325362478e-05,3.106074801774161e-05
42,5C_67PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,9.350945459388274e-05,7.890144989148196e-05,-5.244467050207202e-06
42,5C_67PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,9.368795997778887e-05,7.830695626586337e-05,2.816867292190217e-06
43,5_3C_54PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00010284184952054344,8.75166820603579e-05,-1.1892444976531192e-05
43,5_3C_54PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,0.00010186940064699255,8.581031295219476e-05,-2.060861962675853e-05
43,5_3C_54PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,0.00012679874020048355,0.0001015710643757739,-5.540976424651678e-05
44,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00033318409168916926,0.00029613241455190176,0.00029613241455190176
44,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,0.00026141213556954787,0.00022070741188507048,0.0002206515037724821
44,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,0.00028408074019351654,0.00025031786097942985,0.00025031786097942985
45,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.0002845845515074114,0.00025155802399448037,0.00024897828576167405
45,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,0.0001402666165843281,0.00011507808348546034,9.66787543638259e-05
45,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,0.00025467200288568876,0.00022382339092591686,0.00022057607278469504
46,4_8C_80PER_4_8C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00023863260785643816,0.00019984503193910764,0.00019984503193910764
46,4_8C_80PER_4_8C_NEWSTRUCTURE,linear,linear_w40_s1,0.00016207744709263229,0.00013864601520362728,-0.00010670180696246146
46,4_8C_80PER_4_8C_NEWSTRUCTURE,power,power_w60_s1.25,0.00021380372423041976,0.0001734682831095613,0.0001734682831095613
47,5C_67PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00038634442295290707,0.0003160986171092883,0.0003151891630876857
47,5C_67PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,0.000363210292582936,0.00029104014144193613,0.00028846099396389935
47,5C_67PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,0.0003608161861172036,0.00029251300249178103,0.0002910108470145434
48,5_3C_54PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00020856025104022184,0.0001637172684964039,0.00015707060418487461
48,5_3C_54PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,0.00011871630927923546,0.00010828002475431031,-1.5741938803066624e-05
48,5_3C_54PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,0.00018754832702190912,0.00014291915339962103,0.0001339100745572308
49,4_8C_80PER_4_8C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.0005026121956973491,0.0003076279537995474,0.0002936456989669822
49,4_8C_80PER_4_8C_NEWSTRUCTURE,linear,linear_w40_s1,0.0003720468031233785,0.0002407064680517923,-1.723035113014415e-05
49,4_8C_80PER_4_8C_NEWSTRUCTURE,power,power_w60_s1.25,0.0004876234420218954,0.0002923263915606844,0.0002738291478074206
