SensitivityWindow,BatteryId,Policy,AvailableLastCycle,LifetimePrefixCycle,TailWindow,SOH150,SlopeTail,InterceptTail,EstimatedT80,ExtrapolationMultiple,T80Status
30,33,5_6C_19PER_4_6C_NEWSTRUCTURE,200,150,30,0.997316160528421,-3.1681324693491044e-05,1.0019971714281635,6375.906733144398,42.506044887629315,finite_extrapolation
30,34,5_6C_36PER_4_3C_NEWSTRUCTURE,200,150,30,0.996693417818699,-4.650455171980959e-05,1.0034055747487578,4373.885291364133,29.15923527576089,finite_extrapolation
30,35,3_7C_31PER_5_9C_NEWSTRUCTURE,200,150,30,0.971081558489919,-0.000231058343836211,1.0055985529270228,889.8122851290073,5.932081900860048,finite_extrapolation
30,36,5_3C_54PER_4C_NEWSTRUCTURE,200,150,30,0.997303466680991,-3.7626099865805826e-05,1.0029408145722036,5393.618134645783,35.95745423097189,finite_extrapolation
30,37,5C_67PER_4C_NEWSTRUCTURE,200,150,30,0.996427094360384,-4.3686340428509867e-05,1.002994465073958,4646.634693655479,30.97756462436986,finite_extrapolation
30,38,5_3C_54PER_4C_NEWSTRUCTURE,200,150,30,0.995665512613668,-4.82112817560781e-05,1.0028073429655016,4206.6366123927655,28.044244082618437,finite_extrapolation
30,39,5_6C_19PER_4_6C_NEWSTRUCTURE,200,150,30,0.996361092959855,-4.5328158719590785e-05,1.003024475582094,4478.992337589637,29.859948917264248,finite_extrapolation
30,40,5_6C_36PER_4_3C_NEWSTRUCTURE,200,150,30,0.995403188822076,-4.857765189022278e-05,1.0025404898843209,4169.417046794025,27.7961136452935,finite_extrapolation
30,41,4_8C_80PER_4_8C_NEWSTRUCTURE,200,150,30,0.951643245848128,-4.11905358548822e-05,0.9576712820414255,3827.8521696565185,25.51901446437679,finite_extrapolation
30,42,5C_67PER_4C_NEWSTRUCTURE,200,150,30,0.997490809267383,-3.2361514385036976e-05,1.0022611865233735,6250.053199515692,41.66702133010461,finite_extrapolation
30,43,5_3C_54PER_4C_NEWSTRUCTURE,200,150,30,0.996217632042891,-4.4395729957604335e-05,1.0029212287643623,4570.737522688369,30.471583484589125,finite_extrapolation
30,44,5_6C_19PER_4_6C_NEWSTRUCTURE,200,150,30,0.996375278650277,-4.028332414979954e-05,1.0023254158230455,5022.560081453761,33.48373387635841,finite_extrapolation
30,45,5_6C_36PER_4_3C_NEWSTRUCTURE,200,150,30,0.998283886812936,-3.416776860539115e-05,1.0032367893348018,5948.201993580993,39.65467995720662,finite_extrapolation
