BatteryId,Policy,Family,Candidate,SelectedFamily,Intercept,Coefficient,EstimatedT80,T80Status,ExtrapolationMultiple
19,5_3C_54PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.000587462816962,-0.013652713994226814,2753.159377954164,finite_extrapolation,18.35439585302776
19,5_3C_54PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0011535523178638,-1.886351305647185e-05,10663.631515278665,finite_extrapolation,71.09087676852442
19,5_3C_54PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0003294210904576,-3.7266401971352856e-06,6086.138307740957,finite_extrapolation,40.57425538493972
20,4_8C_80PER_4_8C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0008198792596557,-0.020138124146814488,2395.3579113468186,finite_extrapolation,15.969052742312124
20,4_8C_80PER_4_8C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0018230674940205,-2.890536809933316e-05,6982.200219712007,finite_extrapolation,46.54800146474672
20,4_8C_80PER_4_8C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0004370733232752,-5.49143440119159e-06,4465.126859275988,finite_extrapolation,29.767512395173252
21,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.001602273089008,-0.03655253458794268,1874.1703850803208,finite_extrapolation,12.494469233868806
21,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0027122586511226,-4.737839119849612e-05,4278.580456686275,finite_extrapolation,28.523869711241836
21,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.000909369952271,-9.972260074590067e-06,2775.653669542638,finite_extrapolation,18.50435779695092
22,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.000383647098992,-0.014997705614958855,2664.512960073179,finite_extrapolation,17.76341973382119
22,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0013369159116552,-2.3143038752739067e-05,8699.675010820529,finite_extrapolation,57.99783340547019
22,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0001007834328473,-4.09526400337275e-06,5638.628835627478,finite_extrapolation,37.590858904183186
23,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0016096532656695,-0.03576197769441686,1892.7417227007836,finite_extrapolation,12.618278151338558
23,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0024330781135256,-4.440799698407782e-05,4558.4825225534605,finite_extrapolation,30.389883483689736
23,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0009309388042158,-9.754589529189597e-06,2825.336964147938,finite_extrapolation,18.835579760986253
24,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0012721335280048,-0.023039664195516552,2275.819777233708,finite_extrapolation,15.172131848224721
24,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0024325932049893,-3.334423625130063e-05,6070.992050300542,finite_extrapolation,40.47328033533695
24,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0008371899058033,-6.290185230103532e-06,4011.8488414935837,finite_extrapolation,26.745658943290557
25,4_8C_80PER_4_8C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0002042582266086,-0.01771556116660189,2509.683778886974,finite_extrapolation,16.731225192579824
