Model,BatteryId,Policy,NObs,RMSE,MAE,Bias,MaxAbsError,InnerSelectedLambdaRandom,InnerSelectedLambdaCurve,InnerCVMeanBatteryRMSE,InnerValidationNBattery
spline_mixed,34,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.00041962979429456185,0.0002784132013128282,2.027884230424437e-06,0.003331792684956758,3.0,0.001,0.004360831606339577,39
spline_mixed,35,3_7C_31PER_5_9C_NEWSTRUCTURE,200,0.005814090702654176,0.004610239556951688,0.004591760752035567,0.011335158257548716,3.0,0.001,0.004647114737216395,38
spline_mixed,36,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0004185963063580677,0.00033533294293514704,-0.00028268654780132853,0.002373927130900566,3.0,0.001,0.004379017642446846,39
spline_mixed,37,5C_67PER_4C_NEWSTRUCTURE,200,0.0006765353726221455,0.0006123100521013259,0.0004714407102948837,0.0013485344282500034,3.0,0.001,0.004380881718071758,39
spline_mixed,38,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0012337828683363812,0.0010903477932705753,0.0008559171570659463,0.0020446441235816293,3.0,0.001,0.0048145449618152685,39
spline_mixed,39,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0003411435217343179,0.0002764873160603182,-0.00016175221516726623,0.0009100010026269478,3.0,0.001,0.0043940890882549575,39
spline_mixed,40,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0012206081564871132,0.0010703206461504212,0.0009929584976417205,0.0020696623590589214,3.0,0.001,0.004796562113147339,39
spline_mixed,41,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.04582138543322738,0.04580229971044524,0.04580229971044524,0.052650305988805934,0.03,0.001,0.0021391425657507446,39
spline_mixed,42,5C_67PER_4C_NEWSTRUCTURE,200,0.00041050302193400637,0.0003332542814317141,-0.00015961952366957743,0.0012834725342576458,3.0,0.001,0.004826973691259944,39
spline_mixed,43,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0006738231875068368,0.000559106361818843,0.0004185631074163798,0.0027842396409957226,3.0,0.001,0.004824909584062644,39
spline_mixed,44,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.00046571835384383656,0.00025730976068305046,-9.903594138829185e-05,0.003847074415936569,3.0,0.001,0.00436976107690699,39
spline_mixed,45,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0014093313791724103,0.001205771186759416,-0.001060976775778289,0.003923998875770218,3.0,0.001,0.004336582457364962,39
